family_id;child_id;child_hash;test;language_id;parental_edu
566;862;tSWjMvqWTDp-VW9c2DQwt;;6;NA
566;862;tSWjMvqWTDp-VW9c2DQwt;;110;NA
572;863;907Lm1miLxFYD73ARPfaf;;2;HIGHER_EDU
567;864;Mys15a3KhGqwhz7jL8qp-;;7;NA
567;864;Mys15a3KhGqwhz7jL8qp-;;110;NA
571;865;kWUJ8Fz8j3g-WBWXVvc3w;;7;HIGHER_EDU
571;865;kWUJ8Fz8j3g-WBWXVvc3w;;118;HIGHER_EDU
571;865;kWUJ8Fz8j3g-WBWXVvc3w;;3;HIGHER_EDU
571;865;kWUJ8Fz8j3g-WBWXVvc3w;;110;HIGHER_EDU
569;866;BUUYjm8RZ12Ut4UqOiH7m;;7;UNFINISHED_HIGHER_EDU
569;866;BUUYjm8RZ12Ut4UqOiH7m;;2;UNFINISHED_HIGHER_EDU
573;868;LQQjF6IQxuk9grd7h96Ij;;7;UNFINISHED_HIGHER_EDU
573;868;LQQjF6IQxuk9grd7h96Ij;;2;UNFINISHED_HIGHER_EDU
574;869;ESUmrWnPH18QaTiKyN5Yo;;7;UNFINISHED_HIGHER_EDU
579;871;qonhhBFQOAqR1UmRh9Ezg;;7;NA
579;871;qonhhBFQOAqR1UmRh9Ezg;;2;NA
580;872;McF33endL8vIx-sJjj-YX;;2;HIGHER_EDU
582;873;Wir5-aVJCazXrx3WftFAN;;7;NA
585;874;yQ4pO9wsaFp-m637u7JE2;;7;HIGHER_EDU
585;874;yQ4pO9wsaFp-m637u7JE2;;2;HIGHER_EDU
587;875;gOt5UNZDY9wMK7A1lajwI;;7;PHD
583;876;#NAZWA?;;7;HIGHER_EDU
583;876;#NAZWA?;;6;HIGHER_EDU
589;877;xX7sJdQe5yVQSA9TBLx4p;;7;PHD
595;878;uOD3CuDMIc-BhpD4bcMov;;7;NA
595;878;uOD3CuDMIc-BhpD4bcMov;;2;NA
591;879;XURgp7vMZgRUe0Zy42M_e;;7;HIGHER_EDU
591;879;XURgp7vMZgRUe0Zy42M_e;;106;HIGHER_EDU
591;879;XURgp7vMZgRUe0Zy42M_e;;110;HIGHER_EDU
